age,education,black,hispanic,married,nodegree,re74,re75,u74,u75,t,y
27,12,1,0,1,0,10775.966796875,8951.61328125,0,0,0,7536.4052734375
21,12,0,0,1,0,16306.9775390625,18529.83984375,0,0,0,11969.5849609375
21,11,1,0,0,1,0.0,9846.7744140625,1,0,0,5615.36083984375
28,17,0,0,1,0,29389.001953125,21483.87109375,0,0,0,19210.4453125
38,11,1,0,0,1,0.0,0.0,1,1,1,0.0
35,14,0,0,1,0,23511.201171875,26496.7734375,0,0,0,29554.53125
25,9,1,0,0,1,11755.6005859375,7161.29052734375,0,0,0,6649.76953125
29,8,0,0,1,1,10775.966796875,8951.61328125,0,0,0,9605.22265625
38,10,1,0,1,1,5877.80029296875,0.0,0,1,0,0.0
37,17,0,0,1,0,82289.203125,85040.3203125,0,0,0,110829.4921875
19,12,0,0,1,0,9208.5537109375,5550.0,0,0,0,11526.2666015625
36,12,0,0,1,0,33307.53515625,33120.96875,0,0,0,33987.7109375
21,11,0,0,1,1,16653.767578125,13427.4189453125,0,0,0,10344.0859375
49,6,0,0,1,1,25274.54296875,21841.935546875,0,0,0,29111.21484375
26,12,1,0,1,0,15411.5927734375,8951.61328125,0,0,0,11082.94921875
19,6,1,0,0,1,3526.68017578125,0.0,0,1,0,0.0
23,11,1,0,1,1,15674.1337890625,8414.515625,0,0,0,8866.359375
42,9,0,0,1,1,33221.328125,32225.806640625,0,0,0,33987.7109375
52,7,1,0,0,1,293.890014648438,5012.9033203125,0,0,0,0.0
40,17,0,1,1,0,39185.3359375,41177.41796875,0,0,0,33987.7109375
18,12,0,0,1,0,3134.82690429688,11100.0,0,0,0,20688.171875
37,12,0,0,1,0,15674.1337890625,8951.61328125,0,0,0,28076.8046875
55,11,0,0,1,1,36638.2890625,37417.7421875,0,0,0,32177.49609375
27,16,0,0,1,0,33307.53515625,30435.484375,0,0,0,0.0
22,14,0,0,1,0,19727.857421875,20141.12890625,0,0,0,22284.1171875
34,12,1,0,1,0,19788.595703125,23274.193359375,0,0,0,31032.2578125
24,12,0,0,1,0,17633.400390625,18440.322265625,0,0,0,19949.30859375
25,13,0,0,1,0,25470.46875,18798.38671875,0,0,0,23643.625
31,8,0,0,1,1,11167.8212890625,19335.484375,0,0,0,20688.171875
49,16,0,0,1,0,94044.8046875,98467.7421875,0,0,0,73886.328125
28,17,0,0,1,0,13714.8681640625,13427.4189453125,0,0,0,6827.0966796875
24,12,1,0,0,0,3330.75366210938,4654.8388671875,0,0,0,11821.8134765625
21,10,0,0,1,1,15674.1337890625,16112.9033203125,0,0,0,20141.412109375
48,16,0,0,1,0,23511.201171875,23274.193359375,0,0,0,39898.6171875
21,9,1,0,0,1,0.0,0.0,1,1,1,0.0
27,10,0,1,0,1,0.0,0.0,1,1,1,11142.8701171875
25,12,0,0,1,0,8816.7001953125,16112.9033203125,0,0,0,26599.078125
49,12,0,0,1,0,10231.291015625,11082.0966796875,0,0,0,6537.46240234375
