age,education,black,hispanic,married,nodegree,re74,re75,t,y
43.0,8.0,1.0,0.0,1.0,1.0,11755.601,12532.258,1,10797.93
54.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,1,6519.6533
21.0,12.0,0.0,0.0,1.0,0.0,14694.501,15217.742,1,17623.607
18.0,6.0,1.0,0.0,0.0,1.0,0.0,0.0,1,3653.7708
26.0,11.0,1.0,0.0,1.0,1.0,13714.868,13248.387,1,0.0
40.0,8.0,0.0,0.0,1.0,1.0,25862.322,26138.71,1,20445.664
27.0,12.0,1.0,0.0,1.0,0.0,9067.486,5370.968,1,15557.009
48.0,15.0,0.0,0.0,1.0,0.0,73472.51,71612.91,1,77343.195
34.0,17.0,0.0,0.0,1.0,0.0,32327.902,34016.13,1,36578.36
42.0,11.0,0.0,0.0,1.0,1.0,33307.535,44758.066,1,42982.707
31.0,12.0,0.0,0.0,1.0,0.0,22531.568,25064.516,1,30764.236
39.0,7.0,0.0,0.0,1.0,1.0,10580.041,17545.16,1,8357.585
48.0,8.0,1.0,0.0,1.0,1.0,37226.07,26854.84,1,23420.945
42.0,17.0,0.0,0.0,1.0,0.0,68574.336,64451.613,1,74369.21
49.0,14.0,0.0,0.0,1.0,0.0,33307.535,30435.484,1,26855.723
22.0,12.0,1.0,0.0,0.0,0.0,5891.515,10367.758,1,9825.469
26.0,12.0,0.0,0.0,1.0,0.0,15674.134,13427.419,1,15552.324
32.0,12.0,0.0,0.0,1.0,0.0,30564.562,35806.453,1,37321.477
43.0,16.0,0.0,0.0,1.0,0.0,49961.305,50129.03,1,46059.63
46.0,11.0,1.0,0.0,1.0,1.0,17868.514,17903.227,1,23390.625
19.0,11.0,0.0,0.0,0.0,1.0,3221.0347,12532.258,1,10651.894
20.0,12.0,0.0,0.0,1.0,0.0,25294.135,18798.387,1,26974.125
27.0,8.0,0.0,0.0,1.0,1.0,8424.848,7698.387,1,16987.611
26.0,12.0,1.0,0.0,1.0,0.0,15478.208,18175.355,1,45282.26
35.0,12.0,1.0,0.0,1.0,0.0,16065.988,16086.048,1,28365.875
50.0,7.0,1.0,0.0,1.0,1.0,20384.213,17008.064,1,26519.902
46.0,12.0,0.0,0.0,1.0,0.0,29389.002,27033.871,1,30801.586
34.0,10.0,0.0,0.0,1.0,1.0,11755.601,12174.194,1,13225.023
33.0,17.0,1.0,0.0,1.0,0.0,33307.535,29540.322,1,29223.434
49.0,17.0,0.0,0.0,1.0,0.0,47022.402,48338.71,1,44808.246
26.0,11.0,1.0,0.0,1.0,1.0,0.0,2754.646,1,5312.5376
42.0,17.0,0.0,0.0,1.0,0.0,26841.955,31330.645,1,33761.11
50.0,17.0,0.0,0.0,1.0,0.0,33307.535,30435.484,1,28479.484
36.0,12.0,0.0,0.0,1.0,0.0,33307.535,30435.484,1,31129.19
33.0,14.0,0.0,0.0,1.0,0.0,14106.721,14322.581,1,18025.05
26.0,16.0,0.0,0.0,1.0,0.0,16457.842,21483.871,1,27321.617
42.0,8.0,0.0,0.0,1.0,1.0,1763.3401,0.0,1,19973.092
33.0,17.0,0.0,0.0,1.0,0.0,33307.535,31867.742,1,31558.332
41.0,9.0,0.0,0.0,1.0,1.0,19592.668,21483.871,1,27057.742
26.0,14.0,1.0,0.0,1.0,0.0,14506.411,17187.098,1,16978.77
31.0,11.0,0.0,0.0,1.0,1.0,15870.061,15602.661,1,26050.205
26.0,14.0,0.0,0.0,1.0,0.0,18613.035,19693.549,1,17875.674
49.0,13.0,0.0,0.0,1.0,0.0,18221.182,17903.227,1,16823.57
29.0,13.0,0.0,0.0,0.0,0.0,7958.542,0.0,1,11866.151
41.0,5.0,1.0,0.0,1.0,1.0,8424.848,10741.935,1,10666.393
33.0,10.0,0.0,0.0,1.0,1.0,19592.668,10741.935,1,27240.113
27.0,16.0,0.0,0.0,1.0,0.0,26841.955,22200.0,1,26602.52
31.0,9.0,1.0,0.0,0.0,1.0,10717.03,5517.841,1,11696.575
50.0,12.0,0.0,0.0,1.0,0.0,15282.281,14322.581,1,12932.495
32.0,12.0,0.0,1.0,1.0,0.0,43103.87,37596.773,1,25572.51
48.0,16.0,0.0,0.0,1.0,0.0,24663.252,18082.258,1,18634.656
25.0,11.0,1.0,0.0,0.0,1.0,0.0,0.0,1,0.0
39.0,9.0,1.0,0.0,1.0,1.0,10580.041,9667.742,1,12703.757
38.0,14.0,0.0,0.0,1.0,0.0,37226.07,50129.03,1,47090.223
31.0,12.0,1.0,0.0,1.0,0.0,19592.668,19466.178,1,31695.375
27.0,17.0,0.0,0.0,1.0,0.0,22594.266,18261.29,1,19415.215
25.0,17.0,0.0,0.0,1.0,0.0,20180.447,21036.29,1,16203.968
33.0,17.0,0.0,0.0,1.0,0.0,50940.938,39387.098,1,51817.676
34.0,10.0,1.0,0.0,1.0,1.0,21551.936,10083.097,1,11617.152
42.0,10.0,1.0,0.0,0.0,1.0,7837.0674,1718.7097,1,23304.123
43.0,12.0,1.0,0.0,1.0,0.0,26450.102,14322.581,1,6873.531
19.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,1,0.0
25.0,12.0,0.0,0.0,1.0,0.0,27429.734,21483.871,1,24176.16
49.0,8.0,0.0,0.0,1.0,1.0,25862.322,22916.129,1,33268.855
45.0,9.0,0.0,0.0,1.0,1.0,0.0,0.0,1,7221.5127
48.0,11.0,0.0,0.0,1.0,1.0,0.0,0.0,1,0.0
45.0,11.0,0.0,0.0,1.0,1.0,12382.566,21483.871,1,22322.377
27.0,14.0,0.0,0.0,1.0,0.0,12419.792,16829.031,1,18828.996
28.0,14.0,0.0,0.0,1.0,0.0,21649.898,26854.84,1,0.0
17.0,10.0,1.0,0.0,0.0,1.0,0.0,0.0,1,2682.7227
28.0,12.0,0.0,0.0,1.0,0.0,7837.0674,4475.8066,1,0.0
43.0,9.0,0.0,0.0,1.0,1.0,11755.601,10741.935,1,20402.746
29.0,12.0,0.0,0.0,0.0,0.0,43103.87,37596.773,1,45245.01
21.0,14.0,1.0,0.0,0.0,0.0,9420.155,5370.968,1,5193.7964
38.0,12.0,0.0,0.0,1.0,0.0,23511.201,26854.84,1,27302.117
26.0,14.0,1.0,0.0,1.0,0.0,24490.836,25717.984,1,34462.76
52.0,5.0,1.0,0.0,1.0,1.0,7523.5845,4296.7744,1,0.0
55.0,12.0,0.0,0.0,1.0,0.0,26450.102,23990.322,1,15230.663
26.0,17.0,0.0,0.0,0.0,0.0,24490.836,26854.84,1,30877.314
37.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0.0
23.0,12.0,1.0,0.0,1.0,0.0,11167.821,7812.968,1,13305.971
22.0,12.0,0.0,0.0,0.0,0.0,9951.116,14322.581,1,18695.666
50.0,14.0,0.0,0.0,1.0,0.0,70533.6,29540.322,1,45135.69
35.0,16.0,0.0,0.0,1.0,0.0,23511.201,22737.098,1,23345.453
24.0,13.0,0.0,1.0,1.0,0.0,21922.236,24742.258,1,31663.781
23.0,16.0,0.0,0.0,1.0,0.0,14694.501,19693.549,1,19190.28
32.0,16.0,1.0,0.0,1.0,0.0,15282.281,19693.549,1,1994.2505
18.0,10.0,0.0,0.0,1.0,1.0,15674.134,21483.871,1,24673.49
42.0,14.0,1.0,0.0,1.0,0.0,0.0,0.0,1,0.0
24.0,12.0,0.0,0.0,1.0,0.0,13029.124,13964.516,1,14606.361
28.0,12.0,0.0,0.0,1.0,0.0,22727.494,20051.613,1,53906.887
47.0,4.0,1.0,0.0,0.0,1.0,9796.334,10741.935,1,13380.262
19.0,12.0,0.0,0.0,0.0,0.0,11755.601,19335.484,1,15946.126
30.0,16.0,0.0,0.0,1.0,0.0,24490.836,26854.84,1,30387.764
25.0,12.0,0.0,0.0,1.0,0.0,26450.102,26836.936,1,24901.492
50.0,7.0,0.0,0.0,1.0,1.0,15160.807,15933.871,1,20966.436
24.0,13.0,1.0,0.0,1.0,0.0,18881.453,16112.903,1,24089.326
55.0,10.0,0.0,0.0,1.0,1.0,21551.936,19693.549,1,29077.625
47.0,14.0,1.0,0.0,1.0,0.0,23511.201,25565.807,1,23825.992
26.0,16.0,0.0,0.0,1.0,0.0,18025.256,23274.193,1,15277.171
27.0,16.0,0.0,0.0,1.0,0.0,24098.982,7161.2905,1,0.0
49.0,8.0,0.0,0.0,1.0,1.0,31348.27,37596.773,1,50290.11
26.0,8.0,1.0,0.0,1.0,1.0,25470.469,23274.193,1,33714.098
54.0,15.0,0.0,0.0,1.0,0.0,39185.336,37471.453,1,39151.35
40.0,12.0,0.0,0.0,1.0,0.0,45063.137,48338.71,1,51730.125
29.0,17.0,0.0,0.0,1.0,0.0,21943.787,21752.42,1,27283.271
49.0,5.0,1.0,0.0,1.0,1.0,7944.8267,7698.387,1,22738.123
24.0,12.0,1.0,0.0,1.0,0.0,14694.501,11816.129,1,23624.328
51.0,17.0,0.0,0.0,1.0,0.0,74452.14,0.0,1,33928.66
35.0,17.0,0.0,0.0,1.0,0.0,19592.668,44758.066,1,35692.816
27.0,17.0,0.0,0.0,0.0,0.0,15674.134,0.0,1,0.0
41.0,3.0,1.0,0.0,1.0,1.0,6990.664,3222.5806,1,6582.1807
52.0,9.0,0.0,0.0,1.0,1.0,19592.668,16112.903,1,14484.302
27.0,12.0,1.0,0.0,1.0,0.0,9796.334,14322.581,1,25177.717
18.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0.0
30.0,11.0,0.0,0.0,1.0,1.0,16065.988,17989.16,1,11985.047
43.0,12.0,1.0,0.0,1.0,0.0,24490.836,29355.92,1,29008.53
21.0,12.0,0.0,0.0,1.0,0.0,18417.107,19693.549,1,26420.143
29.0,12.0,0.0,0.0,1.0,0.0,26841.955,20588.71,1,14137.053
55.0,6.0,1.0,0.0,1.0,1.0,19962.969,26854.84,1,19246.535
29.0,12.0,0.0,0.0,1.0,0.0,21551.936,20588.71,1,32188.844
28.0,10.0,1.0,0.0,0.0,1.0,0.0,2836.506,1,12519.798
23.0,12.0,1.0,0.0,1.0,0.0,15674.134,16202.419,1,22446.836
26.0,15.0,0.0,0.0,0.0,0.0,979.6334,1879.8387,1,3239.4387
23.0,12.0,1.0,0.0,0.0,0.0,0.0,0.0,1,0.0
27.0,12.0,1.0,0.0,1.0,0.0,19004.889,19693.549,1,27768.85
20.0,11.0,0.0,0.0,1.0,1.0,6661.5073,5370.968,1,13203.158
31.0,12.0,1.0,0.0,0.0,0.0,15282.281,17903.227,1,20711.656
21.0,13.0,0.0,0.0,1.0,0.0,18417.107,8951.613,1,0.0
