ATE_true,ATE_AIPW_baseline,ATE_IPTW,ATE_AIPW,ATE_IPTW_nomask,ATE_AIPW_nomask
-6977.127761167221,-2131.1963987727163,-8049.1658761383105,-8050.56036390063,-8223.299785012201,-8224.497896888824
-7082.393732683495,-731.3638097184404,-9579.987190859787,-9580.769340726525,-9622.720221504627,-9623.495607709787
-7037.542128117576,-195.18332006684028,-9944.459254088077,-9945.494639935163,-9962.596916334414,-9963.607266087558
-7032.992948091469,4304.976418193253,-8268.538276298463,-8270.9808287526,-8189.0260561126715,-8191.153673575953
-7018.778543638719,-644.7154106370385,-8706.243021683149,-8707.683687089451,-8584.866780442513,-8586.489128822232
-7084.696294968485,-3237.429920063381,-10149.13710092888,-10149.702128069375,-10177.233530576264,-10177.96123559781
-7150.3268298730545,-2289.978162297205,-8970.230533991165,-8970.733589961652,-9305.530271279815,-9305.798896769604
-7098.893036682908,-134.8484136033383,-10355.063190402983,-10355.441304497808,-9374.376286985369,-9375.613717459448
-7091.863368900184,5865.4928002762745,-9874.567805415374,-9875.191732260988,-9650.758790217893,-9651.647664837656
-6980.404985830896,-1487.583513122957,-9572.343860881329,-9572.812535377892,-9749.458399975243,-9749.902119952767
-7050.058353846463,-2280.4868054284225,-10638.23532448262,-10638.855132179704,-10366.24010730374,-10367.140802482867
-7029.7431802585415,6525.576986196846,-7303.748874070565,-7306.429009943858,-7703.174109255546,-7705.342448679165
-7088.86586407806,-682.3513261533514,-8100.792990701116,-8102.75624250801,-7955.203738976135,-7957.217203181774
-7017.7420177854165,-1808.2798440288118,-8741.338194995766,-8743.768837164884,-9123.597282253302,-9125.626657850418
-7037.356954617116,747.5421147241339,-5511.188989729723,-5514.60823968648,-5636.537865067299,-5640.012461515264
-6916.948270913884,-8.68749676812756,-9261.173289623102,-9262.096690566625,-9873.668165289831,-9874.13503541362
-6922.148580723211,-857.2060022875744,-10420.814068080737,-10421.403758334858,-10799.785641792805,-10800.013626274755
-7061.203834422135,-718.9445086247866,-9921.406529508848,-9922.255831253216,-9692.098556524625,-9693.165375214632
-6853.01591051484,-922.9846863375664,-8312.976154016633,-8314.68079851094,-7215.19891033445,-7217.518159843326
-7054.983742103956,-447.47067133923053,-9343.191484029905,-9344.469128078741,-9235.957567784082,-9237.296761398942
-7044.780790238633,2859.775202656503,-4281.831374911789,-4286.943131310029,-9126.214539035233,-9127.020819537527
-6981.81364089026,-3687.013529982526,-10634.604335817585,-10635.237822447361,-10572.314931067564,-10572.91972116224
-6944.026327813522,-30.08554849604858,-9481.481144946552,-9482.337289712199,-9835.38874008311,-9835.946477859452
-7026.316000838763,-1100.946704114536,-10213.848367479484,-10214.654371477165,-9948.845650262327,-9949.833040446323
-7061.878608048503,575.3458224625796,-9079.679171953161,-9081.806314745665,-9472.39657823701,-9474.106407664163
-7074.642257088268,-976.1801316431835,-8667.672711326826,-8669.455214138012,-8886.851790288234,-8888.378652947715
-7059.979015654079,-3677.429911012283,-10030.603124006633,-10031.74537878635,-10223.856766866562,-10224.777361860426
-6943.193921210406,-25760.44288860262,-9647.453047925219,-9647.891593306744,-9122.544099733854,-9123.426894612894
-6969.705503430495,-24195.83527281947,-8582.576680926424,-8583.804960404737,-9918.087202311472,-9918.275659136103
-6981.921571431669,272.2640285203754,-7597.7695885654675,-7600.209244914011,-7769.733706703646,-7772.1016789126
-6923.39708104675,-2723.594551508191,-9095.712582405753,-9097.113328050234,-9142.22079195618,-9143.53518035349
-6972.317315399574,1729.1520997897856,-6670.253385115942,-6672.577002876574,-6956.062848823865,-6958.209000139451
-6956.932329187647,-928.142407668645,-11479.912342047639,-11478.962893885939,-11441.994401325142,-11441.088410904274
-7028.49835927814,165.41359566837707,-11664.900378125649,-11664.71642942836,-11800.0606976924,-11799.588778293359
-7092.881674716653,-643.8012581741184,-10673.732807361552,-10673.990101733478,-10553.567014461603,-10553.992659407473
-7056.74629322413,-1116.4909941202527,-9439.399719627867,-9440.092694154308,-9530.2621646642,-9530.952005063686
-6937.9583905289155,-545.0191988083403,-9971.09826674452,-9972.081549624792,-9866.105549707403,-9867.26608507042
-7068.147557069766,663.9814147126948,-9551.335053999246,-9552.46118718771,-9559.778049813158,-9560.7796495562
-7052.330517271486,195.71493483788709,-9935.040244169058,-9935.2580959203,-9901.36603308053,-9901.683872637574
-7053.060920970414,2704.408291175549,-9420.067457521793,-9421.185676600426,-9192.007722877714,-9193.423295833789
-7049.133752811027,-776.3093979136659,-9740.435198485944,-9741.074137535204,-9708.088956104903,-9708.731582090099
-7022.587227012021,-11812.697323606762,-9392.7366136387,-9393.629320044474,-8975.319373473882,-8976.3551945228
-7096.040976898293,-989.7565480284331,-9602.153339041666,-9603.1124350599,-9913.918543120692,-9914.672645213079
-7059.937483444058,-5461.653353800338,-9441.250586855138,-9442.523988909743,-9902.32771395636,-9903.329217221693
-7085.584676449596,-36.51343780294487,-9783.16009978093,-9784.335681676432,-9015.057720898485,-9017.080041488836
-7060.171562707343,-39.86968064169555,-8697.671453130133,-8699.255923761353,-8622.984692183789,-8624.565507670919
-7070.384995929054,31.959530470480942,-10841.523526343806,-10841.725450247652,-11271.63791487534,-11271.405241224902
-7013.941478304938,6977.512645391071,-9077.687168007413,-9079.138086425897,-8600.62385962316,-8602.575095459282
-7081.742103719101,-869.3517344322587,-6446.838143202923,-6448.639978858033,-5784.541873021306,-5786.696613464808
-7080.682181701418,28.930741371867192,-8443.193741482446,-8444.46461218269,-8697.033690622826,-8698.153309264439
-6934.82648103885,-1167.8890261678043,-9943.90295920625,-9944.4208233017,-9576.233409488901,-9577.02205827278
-7062.751976686132,-140.3713543299325,-10467.06296142967,-10468.024617949095,-10547.070429766289,-10548.00197061462
-7010.028426663955,-274.1498825395335,-9605.715024765143,-9606.358466958496,-8382.848452173099,-8384.517294648233
-6883.40806355345,3059.381720764308,-9045.807734841039,-9046.542698741523,-9345.839029240806,-9346.39282858116
-7066.193128628204,779.3184866927721,-9717.991249547646,-9719.248716905986,-9630.382895242532,-9631.733233423729
-6936.59685614162,11291.454511431637,-8909.404010326522,-8911.030732850213,-9966.367801001177,-9967.067492359316
-7090.33096593631,12094.90823705072,-8026.321794759444,-8028.2220568093035,-6938.686575127618,-6941.706877882641
-7093.5063520581925,-2735.821481689784,-9932.504043221503,-9933.68447891568,-10472.972131447152,-10473.65747738177
-6937.077964716714,-802.4630243254045,-11051.792718947008,-11051.583269604667,-10862.12134905567,-10862.107346411767
-6999.164325466977,253.67401518280312,-6984.175784432894,-6987.356943020474,-8830.196163619961,-8831.600253771132
-7060.813087937344,-657.1022235996259,-9801.633343242038,-9802.429316167687,-9763.081696897108,-9763.949200191504
-7141.333272502712,-2991.025033852697,-9407.782340723646,-9409.571281107495,-9886.93594963368,-9888.359174836847
-6995.688813993082,-3408.548928230576,-7438.007041887771,-7440.426077344548,-8637.653453778981,-8639.048303523738
