ATE_true,ATE_AIPW_baseline,ATE_IPTW,ATE_AIPW,ATE_IPTW_nomask,ATE_AIPW_nomask
-13856.372498899807,478.1953547539072,-14242.774656173147,-14248.263633664796,-14659.643098471812,-14665.186272397776
-13811.566787820373,782.0561407835648,-14184.177234198876,-14190.014724019364,-14214.682298257496,-14220.3799112516
-13880.025605813833,720.0252214258605,-12655.3417475267,-12660.779950667478,-15117.725702702239,-15123.44537008605
-13422.942983577945,-26.10018355338989,-7795.003438677093,-7799.772303336615,-13623.848503585821,-13629.255882931036
-13357.150292719736,2266.0387533757416,-12780.110117760878,-12785.029854880193,-10164.173237268118,-10168.644569142276
-12922.824430306919,2087.320977753166,-12556.944351173282,-12561.686919149108,-10726.476074116825,-10730.863278172092
-13823.196742294953,-1740.7681479507396,-15565.449306257487,-15571.131531636209,-12420.520853102835,-12425.680890929649
-13007.238069296709,1800.3249256144845,-14772.483877434013,-14777.807668727128,-13369.260433322248,-13374.332326712962
-13258.606227072523,562.1196009715951,-14446.005969319365,-14451.361313940924,-16446.735885298913,-16452.417290454978
-13162.478598281497,864.0333407170068,-13933.281075709177,-13938.783995096572,-15683.422868072636,-15689.056962334274
-13273.4765735929,487.4482863394196,-14808.420957076236,-14814.093318633417,-12304.350348087144,-12309.825340243242
-12952.842181717606,1234.141267791379,-12909.166735341889,-12914.155879211346,-13985.417199665282,-13990.454407160421
-13182.49488116224,7268.119299077326,-15340.811382965796,-15346.51496646024,-16239.579570769283,-16245.346758484618
-13319.69957102953,935.8095147525011,-13523.653432506653,-13529.04017840979,-14139.50424623522,-14144.985158332369
-13748.463453118355,1286.0239504825283,-12367.316332852552,-12372.51389715558,-14658.19728107624,-14663.68350020318
-13528.366540249346,104.46692337759094,-14450.43868569548,-14455.692880697905,-11796.740022592,-11801.639588722672
-12848.011581041384,1896.6203761174083,-13557.285499029575,-13562.381501450298,-11380.460174043998,-11385.204561806404
-13337.448361574017,213.7913119517923,-13338.38735597958,-13343.611271581609,-13759.279894015019,-13764.525736533691
-12904.43185210089,1414.371253657542,-15153.681511890753,-15159.162338294147,-13986.859223432688,-13992.112306274252
-13076.85341097047,1503.1546170437762,-15026.024569427302,-15031.499607160984,-9457.061997255145,-9461.773788715345
-13316.040166561124,4558.27657432079,-11052.92435840389,-11057.405975469872,-10170.95999299684,-10175.184527153146
-13461.206197781685,363.9345886781821,-13138.441312146859,-13143.574566818763,-12236.10785167263,-12241.053282313454
-13488.888412211214,406.50219388071724,-16143.25253477907,-16148.989098193102,-14499.479407430897,-14504.989951853575
-13408.90211003514,681.7458752057535,-15077.479826349812,-15083.401436701979,-16365.030167885849,-16371.024610492434
-13359.482690704708,3074.7683999387505,-10117.922103380657,-10121.863989767244,-12540.758393511123,-12545.295831024167
-13698.641321592526,-24.64939516500729,-14541.581388568871,-14547.176892581956,-14840.371873070913,-14845.98225287379
-13338.874748118582,1021.259090929706,-14472.933427418016,-14478.419449250636,-13552.765591438188,-13558.192735327635
-13500.62025122729,1083.4358905452245,-14446.089412186462,-14451.287159691268,-7306.366681968129,-7310.390112759562
-13483.713791092334,1879.0139616228835,-13171.873712880793,-13177.218277814438,-13235.999291188104,-13241.245847268594
-13035.936300309157,2281.989817145047,-14679.134408362053,-14684.67058454402,-16198.827585289297,-16204.620726976074
-13317.557575257939,2011.5563620454188,-12437.948228401183,-12442.793881098949,-11562.884841679803,-11567.638240680659
-13608.664825141534,3820.1452679745757,-8975.632624569449,-8980.160740554198,-10967.965469840663,-10972.681452546898
-13347.23310232972,-1753.9094390118426,-12790.762038816958,-12795.955420719592,-13929.138445663033,-13934.51874766966
-13554.949799474023,120.416544788786,-15981.821879108296,-15987.714010142405,-15912.094447665992,-15917.966393223625
-13603.082268109534,602.3046291541492,-13199.294581625149,-13204.306051162479,-12651.18390840876,-12656.101821333556
-13326.009333721531,1002.2572403323827,-13590.856939740946,-13596.031821756102,-14471.096034745986,-14476.378008904114
-13325.817508621833,891.6174104784525,-12147.635864693051,-12152.90384503985,-15252.600467514232,-15258.26760858223
-13200.482014338882,4173.458084835219,-15254.962431204545,-15260.32160923005,-11021.987964173675,-11026.448872369616
-13364.55473096075,887.7284907567223,-15379.95973366024,-15385.396479776635,-13774.207525316213,-13779.559306338904
-13198.361651583215,1794.2611233091254,-14869.149232584254,-14874.579737332704,-14539.796779678803,-14545.182969196214
-13326.21457521832,-168.6488478851133,-13740.231651221839,-13745.455071887978,-13796.690755369205,-13801.86060432624
-13434.940676142825,6587.908518393316,-13156.181324808244,-13161.530361908197,-14062.271063753935,-14067.655058183933
-13309.5585356314,1188.7492795278326,-14573.199403417946,-14578.562532023,-15020.957484027034,-15026.494048550187
-12929.156900825532,4096.325265861851,-11162.23237531208,-11167.17925230847,-16380.530194294974,-16386.180937084773
-13597.767848423175,-1399.188591610689,-13686.396207851098,-13691.580395697016,-13987.78607898724,-13992.982468346607
-13468.690713000557,7725.524601100042,-14981.128885815819,-14986.781678868003,-16367.590270959408,-16373.39012714344
-13277.388175744749,182.371066882364,-15666.300103512513,-15671.942840747077,-14754.820884113815,-14760.386978482753
-12825.093701539814,3706.3921628960684,-11855.888333752191,-11860.725438053058,-13633.901449326826,-13639.040509127408
-13087.223638121828,9189.439154088503,-11812.020253500596,-11816.711386686266,-13622.860899805546,-13627.801888176906
-13829.694027408785,1476.525792594559,-10928.911658557961,-10933.729159498444,-10536.401141460698,-10541.116485938446
-13335.452825042728,1115.6879562182028,-14443.049990938589,-14448.485094019945,-14813.337432693423,-14818.900514749359
-12941.756403067668,3278.178622933405,-5649.41085015861,-5652.277655584479,-9363.36210103839,-9367.014856812551
-13577.230184422056,1096.011624855139,-13991.529473001625,-13996.803808759603,-14756.890636013259,-14762.302775572725
-13315.214642347664,620.5128982948892,-13369.067215682702,-13374.155329170626,-13095.130811410061,-13100.10302893709
-13476.941842342916,1347.9093554843469,-14306.12457245019,-14311.5584897244,-15327.291207799419,-15332.87413760361
-12747.381156978503,2209.368673863424,-13173.966858808055,-13179.068635147127,-13405.509282928604,-13410.615808237999
-13257.231218995516,896.6493839730591,-13615.893273835094,-13620.990180019911,-15702.381165805145,-15707.833283852684
-13352.9168464957,2846.8695254422605,-13481.808213076572,-13487.027270755056,-14094.511098859164,-14099.875478090464
-13089.58858035514,1327.2068568518928,-11687.926648636354,-11693.221458169059,-13319.110491665846,-13324.443018449312
-13273.435440872148,140.67938894465638,-14368.923822478384,-14374.267391066576,-12747.880417538796,-12753.123805159497
-13966.455311288371,1236.945402670259,-11787.046468418568,-11792.021796058407,-11798.471880361683,-11803.375660320096
-13175.383740517009,2125.1699502174447,-11335.655321486684,-11340.320707546964,-12244.135068071531,-12248.905955858105
-13289.479866359026,-106.9222383122294,-12483.98622756284,-12488.838123377647,-14010.031106075025,-14015.161333739554
-13235.998274060563,-517.269249826691,-15151.211055343636,-15156.803024630286,-16077.713121848072,-16083.49600376424
-13531.498027753383,1510.2551845719331,-14901.512796074416,-14906.955392844648,-12159.444867796139,-12164.648075882522
-13382.015538596263,2567.5239610229737,-11840.361814461623,-11845.100550301442,-12544.81125630784,-12549.616550066186
-13609.808204749905,685.4858651335478,-13634.713347725348,-13640.297797444658,-14899.269624794451,-14904.875703292662
-13503.472649182877,925.0334121533544,-14315.571592558628,-14320.958120569878,-13397.846040083363,-13403.070105135095
-13315.171981323216,2431.793263907857,-14190.715989558623,-14195.831133936608,-13290.25592129036,-13295.205285215447
-13521.58564870318,2012.6004997874365,-14074.509258599108,-14079.682905590318,-13834.363633668065,-13839.576602993773
-13139.200594832786,1453.1423178565637,-14219.315238291869,-14224.634209420048,-13379.342375653063,-13384.503612819673
-13227.503873315138,-145.6551553013412,-15256.050768031086,-15261.854564367906,-14346.854447130792,-14352.757656164678
-13561.782039723217,-1397.542488027743,-12817.786744246048,-12822.810578689569,-13676.447454991576,-13681.66233016683
-13430.348950524709,-570.9607339005015,-12147.213212681914,-12152.446651363796,-11561.993562173004,-11567.055769014407
-13354.697563907663,1955.5016417548109,-13981.768118937514,-13986.903749183597,-13641.851491494148,-13646.98122950692
-13227.641512362614,-93.44836581691483,-12554.21006505913,-12559.264030365244,-13594.135956767679,-13599.277309473811
-13719.569817710726,2502.177945650157,-13277.134182412035,-13282.364972404901,-13340.638372896175,-13345.838200558832
-13416.956478876637,-3119.2714517181826,-14931.362261899429,-14936.916564220664,-13100.135148959518,-13105.60182620477
-12606.279378019437,1406.6104207752833,-12391.13602971942,-12396.008091678115,-13103.337719862151,-13108.31864134714
-13209.473584462055,1932.3070574125852,-12035.736610865235,-12040.654403288621,-14495.692519637654,-14500.952267563596
-13311.385760780935,357.30249638868946,-9606.23787237265,-9611.377895032874,-14880.721086125788,-14886.338340216984
-13465.867141428975,2120.895654489057,-13511.457864686583,-13516.570464520391,-13749.826094406586,-13754.970712160737
-13825.35416414572,138.73521877820002,-14001.368169091693,-14006.957913557366,-16487.14401188328,-16492.970868794597
-13078.06710264527,2009.9007317943792,-15831.837906155424,-15837.362211967818,-14782.383329313416,-14787.7289062492
-13495.011450231028,3046.1890644491627,-14116.95961308539,-14122.273454216547,-15860.125514054907,-15865.68359069774
-13521.136615181756,544.3565720572523,-14411.423060508125,-14416.845003468792,-13289.863953917475,-13295.06495600809
-13437.984010260563,3774.7968772793047,-12898.103739002165,-12903.002398021796,-12502.827916977325,-12507.763129257542
-13310.9498983271,-14.068586923481114,-13376.2093151164,-13381.587865788362,-13110.694013046043,-13116.057078537371
-13376.31034677817,1461.7597995333638,-14586.051156655438,-14591.23366197196,-13280.948444429727,-13285.966783191565
-13505.34667065271,2957.1302566604672,-12441.4321387384,-12446.2624242589,-15911.629130268466,-15917.096349660927
-13109.710759784864,1741.3175076375717,-15010.258705665701,-15015.77154400476,-15001.96834177549,-15007.471885048615
-13521.365827738318,815.601316493273,-13927.234653112939,-13932.619426586049,-16032.051407906758,-16037.713696117658
-13230.760271514764,-9504.223136214969,-15262.950697579005,-15268.486295252442,-15065.334446134684,-15070.810678241
-13379.432306255927,741.8295388683529,-11567.54436987866,-11572.31830440335,-13067.716822978313,-13072.681190766209
-13640.107320963736,1523.6594948148277,-12895.619968377889,-12901.025212347051,-13372.219676090126,-13377.643307917777
-13435.137320225533,684.4295916975847,-14808.23432403074,-14813.640315842775,-14738.65613183756,-14744.049018901422
-13045.16215900471,2434.117446974521,-15757.012887651495,-15762.596995934276,-14807.399794868985,-14812.766935802694
-13278.533340324111,2594.3714253364105,-10954.929871979837,-10959.217429849554,-12653.460340575864,-12658.184089266313
-13155.337460550503,674.762517419151,-17198.03793567226,-17203.864783168505,-14358.802976836858,-14364.317329174068
-13086.261316111031,547.8738839120583,-13816.84467410089,-13822.079298713348,-15179.575210351713,-15184.98878577241
