2024-04-19 18:28:07,719 INFO    MainThread:48039 [wandb_setup.py:_flush():76] Current SDK version is 0.16.6
2024-04-19 18:28:07,720 INFO    MainThread:48039 [wandb_setup.py:_flush():76] Configure stats pid to 48039
2024-04-19 18:28:07,720 INFO    MainThread:48039 [wandb_setup.py:_flush():76] Loading settings from /Users/manqingliu/.config/wandb/settings
2024-04-19 18:28:07,720 INFO    MainThread:48039 [wandb_setup.py:_flush():76] Loading settings from /Users/manqingliu/Dropbox/Harvard/Research/DAGawareTransformer_NeurIPS/src/wandb/settings
2024-04-19 18:28:07,720 INFO    MainThread:48039 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-04-19 18:28:07,720 INFO    MainThread:48039 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-04-19 18:28:07,720 INFO    MainThread:48039 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'src/train.py', 'program_abspath': '/Users/manqingliu/Dropbox/Harvard/Research/DAGawareTransformer_NeurIPS/src/train.py', 'program': '/Users/manqingliu/Dropbox/Harvard/Research/DAGawareTransformer_NeurIPS/src/train.py'}
2024-04-19 18:28:07,720 INFO    MainThread:48039 [wandb_setup.py:_flush():76] Applying login settings: {}
2024-04-19 18:28:07,720 INFO    MainThread:48039 [wandb_init.py:_log_setup():521] Logging user logs to /Users/manqingliu/Dropbox/Harvard/Research/DAGawareTransformer_NeurIPS/src/wandb/run-20240419_182807-5bhvitzv/logs/debug.log
2024-04-19 18:28:07,720 INFO    MainThread:48039 [wandb_init.py:_log_setup():522] Logging internal logs to /Users/manqingliu/Dropbox/Harvard/Research/DAGawareTransformer_NeurIPS/src/wandb/run-20240419_182807-5bhvitzv/logs/debug-internal.log
2024-04-19 18:28:07,720 INFO    MainThread:48039 [wandb_init.py:init():561] calling init triggers
2024-04-19 18:28:07,720 INFO    MainThread:48039 [wandb_init.py:init():568] wandb.init called with sweep_config: {}
config: {'num_epochs': 100, 'batch_size': 30, 'learning_rate': 0.001, 'weight_decay': 0.0, 'project_tag': 'lalonde_psid'}
2024-04-19 18:28:07,721 INFO    MainThread:48039 [wandb_init.py:init():611] starting backend
2024-04-19 18:28:07,721 INFO    MainThread:48039 [wandb_init.py:init():615] setting up manager
2024-04-19 18:28:07,723 INFO    MainThread:48039 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2024-04-19 18:28:07,725 INFO    MainThread:48039 [wandb_init.py:init():623] backend started and connected
2024-04-19 18:28:07,732 INFO    MainThread:48039 [wandb_init.py:init():715] updated telemetry
2024-04-19 18:28:07,770 INFO    MainThread:48039 [wandb_init.py:init():748] communicating run to backend with 90.0 second timeout
2024-04-19 18:28:08,137 INFO    MainThread:48039 [wandb_run.py:_on_init():2357] communicating current version
2024-04-19 18:28:08,335 INFO    MainThread:48039 [wandb_run.py:_on_init():2366] got version response 
2024-04-19 18:28:08,336 INFO    MainThread:48039 [wandb_init.py:init():799] starting run threads in backend
2024-04-19 18:28:12,302 INFO    MainThread:48039 [wandb_run.py:_console_start():2335] atexit reg
2024-04-19 18:28:12,303 INFO    MainThread:48039 [wandb_run.py:_redirect():2190] redirect: wrap_raw
2024-04-19 18:28:12,303 INFO    MainThread:48039 [wandb_run.py:_redirect():2255] Wrapping output streams.
2024-04-19 18:28:12,303 INFO    MainThread:48039 [wandb_run.py:_redirect():2280] Redirects installed.
2024-04-19 18:28:12,303 INFO    MainThread:48039 [wandb_init.py:init():842] run started, returning control to user process
2024-04-19 18:28:21,332 WARNING MsgRouterThr:48039 [router.py:message_loop():77] message_loop has been closed
